talker	age	l	gender	conscious
bh 	5	3.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	2.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	2.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	1.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
bh 	5	3.00	female  	connect
es 	1	1.00	female  	connect
es 	1	3.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	3.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	3.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	3.00	female  	connect
es 	1	1.00	female  	connect
es 	1	3.00	female  	connect
es 	1	3.00	female  	connect
es 	1	3.00	female  	connect
es 	1	1.00	female  	connect
es 	1	3.00	female  	connect
es 	1	1.00	female  	connect
es 	1	3.00	female  	connect
es 	1	1.00	female  	connect
es 	1	3.00	female  	connect
es 	1	1.00	female  	connect
es 	1	3.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	3.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	3.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	3.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	1.00	female  	connect
es 	1	3.00	female  	connect
es 	1	1.00	female  	connect
es 	1	3.00	female  	connect
mr 	1	1.00	male    	social
mr 	1	3.00	male    	social
mr 	1	1.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	1.00	male    	social
mr 	1	1.00	male    	social
mr 	1	3.00	male    	social
mr 	1	1.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	1.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	1.00	male    	social
mr 	1	1.00	male    	social
mr 	1	1.00	male    	social
mr 	1	1.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	1.00	male    	social
mr 	1	1.00	male    	social
mr 	1	3.00	male    	social
mr 	1	1.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
mr 	1	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	1.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
md 	2	3.00	male    	social
